"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"608473906186313728","","","2015-06-10 03:20:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @KathleenGlass: David Titus @CooleyLLP joinsTraction discussion June 16 7:30-10am @sdstartupweek @CyberHiveSD http://t.co/KG4bBLXnjS  #S…","608460156339408897","352680451","2015-06-10 02:26:20 +0000","http://meetup.com/cyberTECH,http://meetup.com/cyberTECH"
"608473792852074496","","","2015-06-10 03:20:31 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: ZIRX valet parking @sdstartupweek Sponsor. #SDSW http://t.co/pPxII4Qb2e @SDVitalIntake Have a plan .. don't waste time c…","608422604135886850","3238161696","2015-06-09 23:57:07 +0000","http://bit.ly/1QiM8NX,http://bit.ly/1QiM8NX"
"608473739034959872","","","2015-06-10 03:20:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @7ctos: Smartie, Techie, Codey, Chatty, Dorky, Funny &amp; Quirky  - The 7 CTOs. @sdstartupweek #innovation #technology #sdsw  https://t.co/…","608410163163316225","111178565","2015-06-09 23:07:41 +0000","https://twitter.com/SDVitalIntake/status/608054578504990720"
"608415295930253312","","","2015-06-09 23:28:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Startup Week Shines Light on San Diego’s Innovators: http://t.co/MF9Fxc6SDi @TimesofSanDiego @ChrisJDelMar #SDSW #GoSanDiego","","","","http://timesofsandiego.com/business/2015/06/09/startup-week-shines-light-on-san-diegos-innovators/"
"608396072214536192","","","2015-06-09 22:11:41 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @PartnerVOSD: An exclusive interview with  @Kevin_Faulconer is showcasing at @sdstartupweek. Don't miss it! http://t.co/PpvF0oleEB #GoSa…","608389870701015040","2230410001","2015-06-09 21:47:03 +0000","http://sandiegostartupweek.com/,http://sandiegostartupweek.com/"
"608395964341223424","","","2015-06-09 22:11:16 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @7ctos: The Innovative CTO mini-Lab! Monday 6/15 6-8pm @ Room8 101 W. B'wy  http://t.co/xKbAOo36Y8 @sdstartupweek #sdsw http://t.co/p2CA…","608335275329208320","111178565","2015-06-09 18:10:06 +0000","http://sched.co/3Xl9,http://sched.co/3Xl9,https://twitter.com/7ctos/status/608335275329208320/photo/1"
"608395944099475456","","","2015-06-09 22:11:11 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @CrowdFundDiva: Supporting @sdstartupweek speaking at the #crowdfunding session this Monday 6/15 at 2:30pm at the downtown library ​

ht…","608346623723339776","2156957678","2015-06-09 18:55:12 +0000","http://bit.ly/1MFDKCv"
"608395922163253249","","","2015-06-09 22:11:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: @GeekGirlCamp Guerilla Marketing “you don't need many. You need only one good one”,JC Levinson. Wear @sdstartupweek http…","608384027402334209","3238161696","2015-06-09 21:23:50 +0000","https://twitter.com/SDVitalIntake/status/608384027402334209/photo/1"
"608395874973155328","","","2015-06-09 22:10:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @LeslieFishlock: Geek Girl presents: Guerilla Marketing for #Startups @sdstartupweek! Join us! 6/16 1pm @thevinesandiego http://t.co/b2B…","608378535053520896","7318032","2015-06-09 21:02:00 +0000","http://gkgl.co/1FDic4U"
"608386869739548672","","","2015-06-09 21:35:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: Does your startup need a commanding advantage? @SPAWARHQ discusses Navy licensing @sdstartupweek #sdsw Growth Track http…","608360084217982976","3238161696","2015-06-09 19:48:41 +0000","http://bit.ly/1dVxAD1"
"608380073675268096","","","2015-06-09 21:08:07 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: Fearless Leader @sdstartupweek Growth Hacking Workshop http://t.co/pkyW3sDH1Y Silicon Valley visitor @SDVitalIntake  htt…","608376404556816384","3238161696","2015-06-09 20:53:32 +0000","http://bit.ly/1cJX44E,http://bit.ly/1cJX44E,https://twitter.com/VasilAzarov/status/608369298306945024"
"608380021376466944","","","2015-06-09 21:07:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @melgordon: @VasilAzarov its @sdstartupweek all week too!! I'm a main organizer, but happy to meet up at one of the events. #sdsw","608367135904137216","13054372","2015-06-09 20:16:42 +0000",""
"608364250835349504","","","2015-06-09 20:05:14 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: @sdstartupweek Weather forecast .. Starting Up with a real chance of going viral! #sdsw No really .. 72F! @SDVitalIntake…","608362146980884481","3238161696","2015-06-09 19:56:53 +0000",""
"608361304307453953","","","2015-06-09 19:53:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SDVitalIntake: San Diego Startup Week Parking Info @SDVitalIntake @sdstartupweek #SDSW http://t.co/pPxII4Qb2e http://t.co/rmWcEJj7Bw ht…","608359812301262848","3238161696","2015-06-09 19:47:36 +0000","http://bit.ly/1QiM8NX,http://bit.ly/1dYCeQK,http://bit.ly/1QiM8NX,http://bit.ly/1dYCeQK,https://twitter.com/SDVitalIntake/status/608359812301262848/photo/1"
"608352294950813696","","","2015-06-09 19:17:44 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @startup_garage: 4 Reasons Why #Startup Week #SanDiego Is Good For Your Life &amp; Business https://t.co/zYdjk91w7S #SDSW","606531757899456514","175451214","2015-06-04 18:43:34 +0000","https://thestartupgarage.com/4-reasons-startup-week-san-diego-good-life-business,https://thestartupgarage.com/4-reasons-startup-week-san-diego-good-life-business"
"608349890297634816","","","2015-06-09 19:08:11 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @evonexus: Calling all #entrepreneurs and #startups! @sdstartupweek has tons of great events, check http://t.co/DwkF1exrui to see the fu…","608334075296927744","94642812","2015-06-09 18:05:20 +0000","http://sandiegostartupweek.com/,http://sandiegostartupweek.com/"
"608349827064328192","","","2015-06-09 19:07:56 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @PartnerVOSD: Are you an #entrepreneur or part of a #startup? You don't want to miss this event: http://t.co/GunDugFofG @sdstartupweek #…","608333252181385216","2230410001","2015-06-09 18:02:04 +0000","http://sandiegostartupweek.com,http://sandiegostartupweek.com"
"608349665126424578","","","2015-06-09 19:07:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @GabrielaDow: @sdstartupweek @storyofastartup @aus_n @SDPhelan @nicolesdesign @corinnemarie15 @fabricegould @klong1024 @adeddeh @melgord…","608091458965377026","19946588","2015-06-09 02:01:16 +0000",""
"608348794472787970","","","2015-06-09 19:03:49 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @darinandersen: @CruxPartners @CyberHiveSD @Kevin_Faulconer @sdstartupweek Thanks Mr. Mayor for your strong commitment to #CyberTECH @Cy…","608333364647620608","16197184","2015-06-09 18:02:31 +0000",""
"608348766991695873","","","2015-06-09 19:03:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @LeslieFishlock: #SanDiego: Get your @sdstartupweek pass! Week long of educational tracks, parties, networking! June 14-20 #startups htt…","608325438478401536","7318032","2015-06-09 17:31:01 +0000","http://gkgl.co/1Jkpqzu"
"608348723467436035","","","2015-06-09 19:03:32 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @help2convert: Check out the @sched for San Diego Startup Week @sdstartupweek #SDSW http://t.co/SpQRRgvhb5","608320262409490433","1483596944","2015-06-09 17:10:27 +0000","http://sandiegostartupweek2015a.sched.org,http://sandiegostartupweek2015a.sched.org"
